,node
456,HG04133
457,HG04136
458,HG04142
459,HG04148
460,HG04151
461,HG04157
462,HG04160
463,HG04162
464,HG04175
465,HG04184
466,HG04187
467,HG04191
468,HG04193
469,HG04199
470,HG04204
471,HG04215
472,HG04217
473,HG04228
474,HGDP00108
475,HGDP00118
476,HGDP00313
477,HGDP00321
478,HGDP00452
479,HGDP00453
480,HGDP00463
481,HGDP00471
482,HGDP00490
483,HGDP00491
484,HGDP00557
485,HGDP00562
486,HGDP00661
487,HGDP00683
488,HGDP00723
489,HGDP00727
490,HGDP00730
491,HGDP00746
492,HGDP00758
493,HGDP00795
494,HGDP00837
495,HGDP00845
496,HGDP00849
497,HGDP00908
498,HGDP00916
499,HGDP00919
500,HGDP00981
501,HGDP00984
502,HGDP00995
503,HGDP01001
504,HGDP01006
505,HGDP01013
506,HGDP01037
507,HGDP01041
508,HGDP01043
509,HGDP01092
510,HGDP01234
511,HGDP01279
512,HGDP01316
513,HGDP01330
514,HGDP01339
515,HGDP01411
516,HGDP01418
517,LP6005441-DNA_B04
518,LP6005441-DNA_B12
519,LP6005441-DNA_F10
520,LP6005441-DNA_H06
521,NA06991
522,NA06995
523,NA06997
524,NA07014
525,NA07019
526,NA07029
527,NA07048
528,NA07349
529,NA10830
530,NA10831
531,NA10835
532,NA10836
533,NA10837
534,NA10838
535,NA10839
536,NA10840
537,NA10842
538,NA10843
539,NA10845
540,NA10846
541,NA10847
542,NA10851
543,NA10852
544,NA10855
545,NA10856
546,NA10857
547,NA10859
548,NA10860
549,NA10861
550,NA10863
551,NA10864
552,NA10865
553,NA12329
554,NA12335
555,NA12336
556,NA12344
557,NA12376
558,NA12386
559,NA12485
560,NA12707
561,NA12739
562,NA12740
563,NA12752
564,NA12753
565,NA12766
566,NA12767
567,NA12801
568,NA12802
569,NA12813
570,NA12817
571,NA12818
572,NA12832
573,NA12864
574,NA12877
575,NA12878
576,NA18484
577,NA18485
578,NA18497
579,NA18500
580,NA18503
581,NA18506
582,NA18515
583,NA18518
584,NA18521
585,NA18854
586,NA18857
587,NA18860
588,NA18863
589,NA18869
590,NA18872
591,NA18875
592,NA18906
593,NA18911
594,NA18914
595,NA18925
596,NA18930
597,NA18935
598,NA19027
599,NA19037
600,NA19094
601,NA19097
602,NA19100
603,NA19101
604,NA19102
605,NA19109
606,NA19115
607,NA19120
608,NA19123
609,NA19129
610,NA19132
611,NA19139
612,NA19142
613,NA19145
614,NA19148
615,NA19151
616,NA19154
617,NA19161
618,NA19173
619,NA19174
620,NA19175
621,NA19186
622,NA19191
623,NA19199
624,NA19202
625,NA19205
626,NA19208
627,NA19211
628,NA19215
629,NA19221
630,NA19225
631,NA19237
632,NA19238
633,NA19240
634,NA19249
635,NA19258
636,NA19307
637,NA19334
638,NA19355
639,NA19384
640,NA19451
641,NA19650
642,NA19653
643,NA19656
644,NA19657
645,NA19659
646,NA19660
647,NA19661
648,NA19665
649,NA19671
650,NA19675
651,NA19677
652,NA19680
653,NA19683
654,NA19685
655,NA19686
656,NA19702
657,NA19705
658,NA19718
659,NA19721
660,NA19724
661,NA19727
662,NA19730
663,NA19733
664,NA19748
665,NA19751
666,NA19757
667,NA19760
668,NA19763
669,NA19772
670,NA19775
671,NA19778
672,NA19781
673,NA19784
674,NA19787
675,NA19790
676,NA19796
677,NA19828
678,NA19836
679,NA19902
680,NA19904
681,NA19918
682,NA19919
683,NA19924
684,NA19983
685,NA20128
686,NA20129
687,NA20274
688,NA20279
689,NA20318
690,NA20321
691,NA20355
692,NA20358
693,NA20362
694,NA20882
695,NA20891
696,NA21135
697,SS6004471
